epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2856,1.34779,2.64694,1.33447,1,0.12715,0.62535,0.45602,1.00912,2.89069,1.12162,0.00046412,0.00046412,0.00046412
2,88.8292,1.16351,1.44187,1.15502,0.95297,0.36661,0.67185,0.48418,1.19387,2.44547,1.33212,0.000931143,0.000931143,0.000931143
3,136.006,1.02653,1.14248,1.10072,0.56778,0.65,0.6304,0.46345,1.26721,1.71,1.43107,0.00138873,0.00138873,0.00138873
4,185.21,0.9815,1.02141,1.06909,0.76479,0.77427,0.83303,0.54204,1.25113,1.62111,1.32145,0.00138656,0.00138656,0.00138656
5,237.451,0.94078,0.94729,1.05843,0.76631,0.75956,0.71793,0.52162,1.14469,1.43001,1.28085,0.00137241,0.00137241,0.00137241
6,290.178,0.90682,0.86536,1.03648,0.77183,0.75,0.74798,0.58762,1.0166,1.14138,1.09958,0.00135826,0.00135826,0.00135826
7,343.42,0.83496,0.77817,0.99725,0.91208,0.58698,0.61286,0.43562,0.96758,1.01749,1.08337,0.00134412,0.00134412,0.00134412
8,404.251,0.82338,0.72798,1.00073,0.85005,0.58893,0.5956,0.40096,0.96333,1.00275,1.13625,0.00132997,0.00132997,0.00132997
9,465.765,0.81011,0.70501,1.00887,0.65423,0.40078,0.3739,0.26519,0.96145,0.83668,1.05949,0.00131582,0.00131582,0.00131582
10,535.822,0.81656,0.68195,1.00253,0.9751,0.52667,0.53395,0.39084,1.02122,0.81414,1.11278,0.00130168,0.00130168,0.00130168
11,611.489,0.78639,0.63748,0.98912,0.99276,0.40745,0.42328,0.31055,0.96033,0.81773,1.10726,0.00128753,0.00128753,0.00128753
12,701.699,0.7542,0.60986,0.98185,0.85962,0.37121,0.36313,0.29049,0.87407,0.87185,1.07417,0.00127338,0.00127338,0.00127338
13,1175.94,0.71667,0.57646,0.97111,0.87197,0.50238,0.52583,0.41564,0.90839,0.78721,1.08662,0.00125923,0.00125923,0.00125923
14,1766.98,0.7188,0.54978,0.96137,0.91836,0.54037,0.54114,0.39324,1.02911,0.60672,1.12035,0.00124509,0.00124509,0.00124509
15,1837.48,0.67459,0.52823,0.9554,0.94462,0.7056,0.74722,0.48527,0.9867,0.59988,1.13901,0.00123094,0.00123094,0.00123094
16,1918.25,0.67968,0.52489,0.95328,0.89816,0.43385,0.47045,0.33781,0.93353,0.66917,1.09736,0.00121679,0.00121679,0.00121679
